"","x","value","variable","panel"
"143",515,19857.1428571429,"stable potential","Time of Sample Trajectory"
"144",528,19877.5510204082,"stable potential","Time of Sample Trajectory"
"145",532,19897.9591836735,"stable potential","Time of Sample Trajectory"
"146",533,19918.3673469388,"stable potential","Time of Sample Trajectory"
"147",527,19938.7755102041,"stable potential","Time of Sample Trajectory"
"148",529,19959.1836734694,"stable potential","Time of Sample Trajectory"
"149",534,19979.5918367347,"stable potential","Time of Sample Trajectory"
"150",546,20000,"stable potential","Time of Sample Trajectory"
"151",561,20020.4081632653,"stable potential","Time of Sample Trajectory"
"152",558,20040.8163265306,"stable potential","Time of Sample Trajectory"
"153",551,20061.2244897959,"stable potential","Time of Sample Trajectory"
"154",558,20081.6326530612,"stable potential","Time of Sample Trajectory"
"155",561,20102.0408163265,"stable potential","Time of Sample Trajectory"
"156",571,20122.4489795918,"stable potential","Time of Sample Trajectory"
"157",584,20142.8571428571,"stable potential","Time of Sample Trajectory"
"158",583,20163.2653061224,"stable potential","Time of Sample Trajectory"
"159",585,20183.6734693878,"stable potential","Time of Sample Trajectory"
"160",575,20204.0816326531,"stable potential","Time of Sample Trajectory"
"161",579,20224.4897959184,"stable potential","Time of Sample Trajectory"
"162",578,20244.8979591837,"stable potential","Time of Sample Trajectory"
"163",582,20265.306122449,"stable potential","Time of Sample Trajectory"
"164",585,20285.7142857143,"stable potential","Time of Sample Trajectory"
"165",565,20306.1224489796,"stable potential","Time of Sample Trajectory"
"166",565,20326.5306122449,"stable potential","Time of Sample Trajectory"
"167",578,20346.9387755102,"stable potential","Time of Sample Trajectory"
"168",579,20367.3469387755,"stable potential","Time of Sample Trajectory"
"169",578,20387.7551020408,"stable potential","Time of Sample Trajectory"
"170",570,20408.1632653061,"stable potential","Time of Sample Trajectory"
"171",563,20428.5714285714,"stable potential","Time of Sample Trajectory"
"172",544,20448.9795918367,"stable potential","Time of Sample Trajectory"
"173",567,20469.387755102,"stable potential","Time of Sample Trajectory"
"174",560,20489.7959183673,"stable potential","Time of Sample Trajectory"
"175",537,20510.2040816327,"stable potential","Time of Sample Trajectory"
"176",527,20530.612244898,"stable potential","Time of Sample Trajectory"
"177",515,20551.0204081633,"stable potential","Time of Sample Trajectory"
"178",509,20571.4285714286,"stable potential","Time of Sample Trajectory"
"179",503,20591.8367346939,"stable potential","Time of Sample Trajectory"
"180",501,20612.2448979592,"stable potential","Time of Sample Trajectory"
"181",512,20632.6530612245,"stable potential","Time of Sample Trajectory"
"182",518,20653.0612244898,"stable potential","Time of Sample Trajectory"
"183",529,20673.4693877551,"stable potential","Time of Sample Trajectory"
"184",516,20693.8775510204,"stable potential","Time of Sample Trajectory"
"185",514,20714.2857142857,"stable potential","Time of Sample Trajectory"
"186",516,20734.693877551,"stable potential","Time of Sample Trajectory"
"187",517,20755.1020408163,"stable potential","Time of Sample Trajectory"
"188",518,20775.5102040816,"stable potential","Time of Sample Trajectory"
"189",524,20795.9183673469,"stable potential","Time of Sample Trajectory"
"190",528,20816.3265306122,"stable potential","Time of Sample Trajectory"
"191",524,20836.7346938776,"stable potential","Time of Sample Trajectory"
"192",532,20857.1428571429,"stable potential","Time of Sample Trajectory"
"193",533,20877.5510204082,"stable potential","Time of Sample Trajectory"
"194",537,20897.9591836735,"stable potential","Time of Sample Trajectory"
"195",545,20918.3673469388,"stable potential","Time of Sample Trajectory"
"196",537,20938.7755102041,"stable potential","Time of Sample Trajectory"
"197",530,20959.1836734694,"stable potential","Time of Sample Trajectory"
"198",535,20979.5918367347,"stable potential","Time of Sample Trajectory"
"199",537,21000,"stable potential","Time of Sample Trajectory"
"200",531,21020.4081632653,"stable potential","Time of Sample Trajectory"
"201",524,21040.8163265306,"stable potential","Time of Sample Trajectory"
"202",520,21061.2244897959,"stable potential","Time of Sample Trajectory"
"203",516,21081.6326530612,"stable potential","Time of Sample Trajectory"
"204",511,21102.0408163265,"stable potential","Time of Sample Trajectory"
"205",501,21122.4489795918,"stable potential","Time of Sample Trajectory"
"206",515,21142.8571428571,"stable potential","Time of Sample Trajectory"
"207",511,21163.2653061224,"stable potential","Time of Sample Trajectory"
"208",520,21183.6734693878,"stable potential","Time of Sample Trajectory"
"209",518,21204.0816326531,"stable potential","Time of Sample Trajectory"
"210",514,21224.4897959184,"stable potential","Time of Sample Trajectory"
"211",508,21244.8979591837,"stable potential","Time of Sample Trajectory"
"212",505,21265.306122449,"stable potential","Time of Sample Trajectory"
"213",510,21285.7142857143,"stable potential","Time of Sample Trajectory"
"214",512,21306.1224489796,"stable potential","Time of Sample Trajectory"
"215",513,21326.5306122449,"stable potential","Time of Sample Trajectory"
"216",501,21346.9387755102,"stable potential","Time of Sample Trajectory"
"217",498,21367.3469387755,"stable potential","Time of Sample Trajectory"
"218",513,21387.7551020408,"stable potential","Time of Sample Trajectory"
"219",513,21408.1632653061,"stable potential","Time of Sample Trajectory"
"220",508,21428.5714285714,"stable potential","Time of Sample Trajectory"
"221",502,21448.9795918367,"stable potential","Time of Sample Trajectory"
"222",501,21469.387755102,"stable potential","Time of Sample Trajectory"
"223",506,21489.7959183673,"stable potential","Time of Sample Trajectory"
"224",507,21510.2040816327,"stable potential","Time of Sample Trajectory"
"225",508,21530.612244898,"stable potential","Time of Sample Trajectory"
"226",511,21551.0204081633,"stable potential","Time of Sample Trajectory"
"227",502,21571.4285714286,"stable potential","Time of Sample Trajectory"
"228",500,21591.8367346939,"stable potential","Time of Sample Trajectory"
"229",506,21612.2448979592,"stable potential","Time of Sample Trajectory"
"230",512,21632.6530612245,"stable potential","Time of Sample Trajectory"
"231",514,21653.0612244898,"stable potential","Time of Sample Trajectory"
"232",508,21673.4693877551,"stable potential","Time of Sample Trajectory"
"233",514,21693.8775510204,"stable potential","Time of Sample Trajectory"
"234",514,21714.2857142857,"stable potential","Time of Sample Trajectory"
"235",522,21734.693877551,"stable potential","Time of Sample Trajectory"
"236",516,21755.1020408163,"stable potential","Time of Sample Trajectory"
"237",516,21775.5102040816,"stable potential","Time of Sample Trajectory"
"238",521,21795.9183673469,"stable potential","Time of Sample Trajectory"
"239",528,21816.3265306122,"stable potential","Time of Sample Trajectory"
"240",528,21836.7346938776,"stable potential","Time of Sample Trajectory"
"241",525,21857.1428571429,"stable potential","Time of Sample Trajectory"
"242",529,21877.5510204082,"stable potential","Time of Sample Trajectory"
"243",517,21897.9591836735,"stable potential","Time of Sample Trajectory"
"244",514,21918.3673469388,"stable potential","Time of Sample Trajectory"
"245",498,21938.7755102041,"stable potential","Time of Sample Trajectory"
"246",492,21959.1836734694,"stable potential","Time of Sample Trajectory"
"247",482,21979.5918367347,"stable potential","Time of Sample Trajectory"
"248",489,22000,"stable potential","Time of Sample Trajectory"
"249",478,22020.4081632653,"stable potential","Time of Sample Trajectory"
"250",489,22040.8163265306,"stable potential","Time of Sample Trajectory"
"251",508,22061.2244897959,"stable potential","Time of Sample Trajectory"
"252",509,22081.6326530612,"stable potential","Time of Sample Trajectory"
"253",496,22102.0408163265,"stable potential","Time of Sample Trajectory"
"254",508,22122.4489795918,"stable potential","Time of Sample Trajectory"
"255",514,22142.8571428571,"stable potential","Time of Sample Trajectory"
"256",512,22163.2653061224,"stable potential","Time of Sample Trajectory"
"257",530,22183.6734693878,"stable potential","Time of Sample Trajectory"
"258",528,22204.0816326531,"stable potential","Time of Sample Trajectory"
"259",547,22224.4897959184,"stable potential","Time of Sample Trajectory"
"260",550,22244.8979591837,"stable potential","Time of Sample Trajectory"
"261",543,22265.306122449,"stable potential","Time of Sample Trajectory"
"262",544,22285.7142857143,"stable potential","Time of Sample Trajectory"
"263",540,22306.1224489796,"stable potential","Time of Sample Trajectory"
"264",534,22326.5306122449,"stable potential","Time of Sample Trajectory"
"265",536,22346.9387755102,"stable potential","Time of Sample Trajectory"
"266",542,22367.3469387755,"stable potential","Time of Sample Trajectory"
"267",542,22387.7551020408,"stable potential","Time of Sample Trajectory"
"268",538,22408.1632653061,"stable potential","Time of Sample Trajectory"
"269",537,22428.5714285714,"stable potential","Time of Sample Trajectory"
"270",533,22448.9795918367,"stable potential","Time of Sample Trajectory"
"271",528,22469.387755102,"stable potential","Time of Sample Trajectory"
"272",510,22489.7959183673,"stable potential","Time of Sample Trajectory"
"273",512,22510.2040816327,"stable potential","Time of Sample Trajectory"
"274",519,22530.612244898,"stable potential","Time of Sample Trajectory"
"275",510,22551.0204081633,"stable potential","Time of Sample Trajectory"
"276",491,22571.4285714286,"stable potential","Time of Sample Trajectory"
"277",489,22591.8367346939,"stable potential","Time of Sample Trajectory"
"278",482,22612.2448979592,"stable potential","Time of Sample Trajectory"
"279",493,22632.6530612245,"stable potential","Time of Sample Trajectory"
"280",496,22653.0612244898,"stable potential","Time of Sample Trajectory"
"281",496,22673.4693877551,"stable potential","Time of Sample Trajectory"
"282",496,22693.8775510204,"stable potential","Time of Sample Trajectory"
"283",480,22714.2857142857,"stable potential","Time of Sample Trajectory"
"284",465,22734.693877551,"stable potential","Time of Sample Trajectory"
"285",471,22755.1020408163,"stable potential","Time of Sample Trajectory"
"286",473,22775.5102040816,"stable potential","Time of Sample Trajectory"
"287",485,22795.9183673469,"stable potential","Time of Sample Trajectory"
"288",498,22816.3265306122,"stable potential","Time of Sample Trajectory"
"289",501,22836.7346938776,"stable potential","Time of Sample Trajectory"
"290",498,22857.1428571429,"stable potential","Time of Sample Trajectory"
"291",502,22877.5510204082,"stable potential","Time of Sample Trajectory"
"292",513,22897.9591836735,"stable potential","Time of Sample Trajectory"
"293",522,22918.3673469388,"stable potential","Time of Sample Trajectory"
"294",515,22938.7755102041,"stable potential","Time of Sample Trajectory"
"295",515,22959.1836734694,"stable potential","Time of Sample Trajectory"
"296",532,22979.5918367347,"stable potential","Time of Sample Trajectory"
"297",526,23000,"stable potential","Time of Sample Trajectory"
"298",520,23020.4081632653,"stable potential","Time of Sample Trajectory"
