"","x","variable","value","panel"
"158",403.030303030303,"deteriorating",26685.0380385847,"Potential Energy"
"159",410.10101010101,"deteriorating",26619.334928362,"Potential Energy"
"160",417.171717171717,"deteriorating",26559.7036137996,"Potential Energy"
"161",424.242424242424,"deteriorating",26506.8557344591,"Potential Energy"
"162",431.313131313131,"deteriorating",26461.4709517508,"Potential Energy"
"163",438.383838383838,"deteriorating",26424.1984907645,"Potential Energy"
"164",445.454545454545,"deteriorating",26395.6586148877,"Potential Energy"
"165",452.525252525253,"deteriorating",26376.4440341561,"Potential Energy"
"166",459.59595959596,"deteriorating",26367.1212486747,"Potential Energy"
"167",466.666666666667,"deteriorating",26368.2318287591,"Potential Energy"
"168",473.737373737374,"deteriorating",26380.2936336753,"Potential Energy"
"169",480.808080808081,"deteriorating",26403.8019710237,"Potential Energy"
"170",487.878787878788,"deteriorating",26439.2306989285,"Potential Energy"
"171",494.949494949495,"deteriorating",26487.0332732653,"Potential Energy"
"172",502.020202020202,"deteriorating",26547.643742198,"Potential Energy"
"173",509.090909090909,"deteriorating",26621.4776903016,"Potential Energy"
"174",516.161616161616,"deteriorating",26708.9331345393,"Potential Energy"
"175",523.232323232323,"deteriorating",26810.3913743241,"Potential Energy"
"176",530.30303030303,"deteriorating",26926.2177978542,"Potential Energy"
"177",537.373737373737,"deteriorating",27056.7626468525,"Potential Energy"
"178",544.444444444444,"deteriorating",27202.3617417755,"Potential Energy"
"179",551.515151515152,"deteriorating",27363.3371694889,"Potential Energy"
"180",558.585858585859,"deteriorating",27539.9979353281,"Potential Energy"
"181",565.656565656566,"deteriorating",27732.6405813914,"Potential Energy"
"182",572.727272727273,"deteriorating",27941.5497728279,"Potential Energy"
"183",579.79797979798,"deteriorating",28166.9988538105,"Potential Energy"
"184",586.868686868687,"deteriorating",28409.250374801,"Potential Energy"
"185",593.939393939394,"deteriorating",28668.5565926424,"Potential Energy"
"186",601.010101010101,"deteriorating",28945.1599449333,"Potential Energy"
"187",608.080808080808,"deteriorating",29239.2935000708,"Potential Energy"
"188",615.151515151515,"deteriorating",29551.1813842749,"Potential Energy"
"189",622.222222222222,"deteriorating",29881.0391868381,"Potential Energy"
"190",629.292929292929,"deteriorating",30229.0743447827,"Potential Energy"
"191",636.363636363636,"deteriorating",30595.4865080394,"Potential Energy"
