"","variable","value","data","model"
"205","Autocorrelation",-0.0297736351531292,"conditional","OU"
"206","Autocorrelation",0.149947625388371,"conditional","OU"
"207","Autocorrelation",-0.418226364846871,"conditional","OU"
"208","Autocorrelation",0.523827785175322,"conditional","OU"
"209","Autocorrelation",0.0208681757656458,"conditional","OU"
"210","Autocorrelation",0.604623169107856,"conditional","OU"
"211","Autocorrelation",0.0867075011096316,"conditional","OU"
"212","Autocorrelation",-0.603934309809143,"conditional","OU"
"213","Autocorrelation",0.197003106968486,"conditional","OU"
"214","Autocorrelation",-0.457647581003107,"conditional","OU"
"215","Autocorrelation",0.259433644030182,"conditional","OU"
"216","Autocorrelation",-0.0973599644917887,"conditional","OU"
"217","Autocorrelation",0.485109631602308,"conditional","OU"
"218","Autocorrelation",-0.606654238792721,"conditional","OU"
"219","Autocorrelation",-0.542192632046161,"conditional","OU"
"220","Autocorrelation",-0.599154904571682,"conditional","OU"
"221","Autocorrelation",-0.279233022636485,"conditional","OU"
"222","Autocorrelation",-0.0412640923213493,"conditional","OU"
"223","Autocorrelation",-0.53693741677763,"conditional","OU"
"224","Autocorrelation",-0.497374167776298,"conditional","OU"
"225","Autocorrelation",0.369388371060808,"conditional","OU"
"226","Autocorrelation",0.55308655126498,"conditional","OU"
"227","Autocorrelation",0.667920106524634,"conditional","OU"
"228","Autocorrelation",0.526441189525078,"conditional","OU"
"229","Autocorrelation",-0.517478916999556,"conditional","OU"
"230","Autocorrelation",0.644917887261429,"conditional","OU"
"231","Autocorrelation",0.103346648912561,"conditional","OU"
"232","Autocorrelation",-0.487595206391478,"conditional","OU"
"233","Autocorrelation",0.63324988903684,"conditional","OU"
"234","Autocorrelation",-0.00286551264980027,"conditional","OU"
"235","Autocorrelation",-0.115895250776742,"conditional","OU"
"236","Autocorrelation",-0.726941855304039,"conditional","OU"
"237","Autocorrelation",-0.0459866844207723,"conditional","OU"
"238","Autocorrelation",0.198828229027963,"conditional","OU"
"239","Autocorrelation",-0.101620949844652,"conditional","OU"
"240","Autocorrelation",-0.706893919218819,"conditional","OU"
"241","Autocorrelation",0.786119840213049,"conditional","OU"
"242","Autocorrelation",-0.364793608521971,"conditional","OU"
"243","Autocorrelation",0.5220097647581,"conditional","OU"
"244","Autocorrelation",0.452733244562805,"conditional","OU"
"245","Autocorrelation",0.260548601864181,"conditional","OU"
"246","Autocorrelation",-0.140452729693742,"conditional","OU"
"247","Autocorrelation",-0.558867288060364,"conditional","OU"
"248","Autocorrelation",-0.419462050599201,"conditional","OU"
"249","Autocorrelation",0.395565024411895,"conditional","OU"
"250","Autocorrelation",-0.185853528628495,"conditional","OU"
"251","Autocorrelation",0.705835774522858,"conditional","OU"
"252","Autocorrelation",0.553775410563693,"conditional","OU"
"253","Autocorrelation",-0.0925450510430537,"conditional","OU"
"254","Autocorrelation",0.53707234798047,"conditional","OU"
"255","Autocorrelation",-0.184234354194407,"conditional","OU"
"256","Autocorrelation",0.497594318686196,"conditional","OU"
"257","Autocorrelation",0.227447847314692,"conditional","OU"
"258","Autocorrelation",0.371660896582335,"conditional","OU"
"259","Autocorrelation",0.533784287616511,"conditional","OU"
"260","Autocorrelation",0.30687971593431,"conditional","OU"
"261","Autocorrelation",-0.121022636484687,"conditional","OU"
"262","Autocorrelation",0.299330670217488,"conditional","OU"
"263","Autocorrelation",0.154293830448291,"conditional","OU"
"264","Autocorrelation",0.458549489569463,"conditional","OU"
"265","Autocorrelation",0.481658233466489,"conditional","OU"
"266","Autocorrelation",0.173588992454505,"conditional","OU"
"267","Autocorrelation",0.235678650687972,"conditional","OU"
"268","Autocorrelation",0.572296493564137,"conditional","OU"
"269","Autocorrelation",0.273175321793165,"conditional","OU"
"270","Autocorrelation",0.159321793164669,"conditional","OU"
"271","Autocorrelation",0.274844207723036,"conditional","OU"
"272","Autocorrelation",-0.488127829560586,"conditional","OU"
"273","Autocorrelation",0.532001775410564,"conditional","OU"
"274","Autocorrelation",-0.00272347980470484,"conditional","OU"
"275","Autocorrelation",0.568092321349312,"conditional","OU"
"276","Autocorrelation",0.558135818908122,"conditional","OU"
